VOLKRAJ;KSTRANA;PORCISLO;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;POCHLASU;POCPROC;MANDAT;SKRUTINIUM;PORADIMAND;PORADINAHR;POHLAVI
1;4;17;Václav;Vítek;;;50;stavbyvedoucí;Praha;1;1114;1114;A;162;0,56;N;0;0;16;
1;4;18;Josef;Müller;;;57;recepční;Praha;1;1114;1114;A;79;0,27;N;0;0;17;
1;4;19;Petr;Nachtmann;;;46;IT specialista;Praha;1;1114;1114;A;203;0,7;N;0;0;18;
1;4;20;Michaela;Pokorná;;;43;provozní ředitelka;Praha;1;1114;1114;A;159;0,55;N;0;0;19;
1;4;21;Róbert;Kopček;;;54;zaměstnanec pojišťovny-likvidátor;Praha;1;1114;1114;A;48;0,16;N;0;0;20;
1;4;22;Karel;Klíma;;;62;trenér fotbalové mládeže;Praha;1;1114;1114;A;188;0,65;N;0;0;21;
1;4;23;Pavel;Buzek;Ing.;;64;podnikatel v oblasti zahraničního obchodu;Praha;1;1114;1114;A;106;0,36;N;0;0;22;
1;4;24;Pavel;Pecho;;;47;řidič stavebních strojů;Praha;1;1114;1114;A;153;0,53;N;0;0;23;
1;4;25;Karel;Oplt;Ing.;;76;manažer Opltovy taneční školy, středoškolský profesor;Praha;1;1114;1114;A;188;0,65;N;0;0;24;
1;4;26;Václav;Šmíd;;;58;stavbyvedoucí;Praha;1;1114;1114;A;111;0,38;N;0;0;25;
1;4;27;René;Valut;;;62;majitel firmy na provoz stavebních strojů;Praha;1;1114;1114;A;49;0,16;N;0;0;26;
1;4;28;Robert;Janulík;;;39;železničář;Praha;1;1114;1114;A;182;0,63;N;0;0;27;
1;4;29;Milan;Košař;;;77;provozní restaurace;Praha;1;1114;1114;A;55;0,19;N;0;0;28;
1;4;30;Jan;Kavrza;;;37;živnostník, majitel elektro e-shopu;Česká Lípa;561380;1114;1114;A;95;0,32;N;0;0;29;
1;4;31;David;Saska;;;53;řidič nákladního vozu;Praha;1;1114;1114;A;188;0,65;N;0;0;30;
1;4;32;Zdeněk;Kovářík;Mgr.;;69;archivář, předseda bytového družstva;Praha;1;1114;1114;A;68;0,23;N;0;0;31;
1;4;33;Josef;Mezey;Mgr.;;68;hudebník;Praha;1;1114;1114;A;91;0,31;N;0;0;32;
1;4;34;Milan;Wünsche;Ing.;;64;učitel v Jedličkově ústavu, sportovní instruktor;Praha;1;1114;1114;A;336;1,16;N;0;0;33;
1;4;35;Radek;Šmídt;;;42;mechanik;Praha;1;1114;1114;A;196;0,67;N;0;0;34;
1;4;36;David;Šubrt;;;51;ředitel bezpečnostní agentury;Praha;1;1114;1114;A;119;0,41;N;0;0;35;
1;5;1;Jana;Maláčová;Dipl.-Pol.;MSc.;40;ministryně práce a sociálních věcí;Praha;1;7;7;A;6435;25,62;N;0;0;0;
