OBVOD;CKAND;VSTRANA;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;HLASY_K1;PROC_K1;URIZ_PR_K1;ZVOLEN_K1;LOS_K1;HLASY_K2;PROC_K2;URIZ_PR_K2;ZVOLEN_K2;LOS_K2;NAZEV_VS
41;5;1;"Jan";"Borgu¾a";"Ing.";"";44;"technickı øeditel rodinné spoleènosti";"Ondøejov";538582;1;1;"A";3591;6.77;6.77496038034865;0;0;0;0;0;0;0;"Køesan.a demokrat.unie-Èeskosl.strana lidová"
41;6;1114;"Miroslav";"Køeèek";"";"";60;"ivnostník v oblasti auto, moto";"Benešov";529303;1114;1114;"A";2667;5.03;5.03169572107765;0;0;0;0;0;0;0;"Svoboda a pøímá demokracie - Tomio Okamura (SPD)"
41;7;47;"Ivan";"Cinka";"Mgr.";"";61;"novináø, pøedseda Vıboru pro dopravu Støedoè.kraje";"Benešov";529303;47;47;"A";2870;5.41;5.41468568409931;0;0;0;0;0;0;0;"Komunistická strana Èech a Moravy"
41;8;716;"Aleš";"Hemer";"Mgr.";"";51;"ivnostník";"Praha 9";500216;99;716;"A";957;1.8;1.80552411138781;0;0;0;0;0;0;0;"Strana soukromníkù Èeské republiky"
41;9;166;"Zdenìk";"Hraba";"JUDr. Ing.";"Ph.D.";43;"místostarosta Øíèan, vysokoškols. pedagog, advokát";"Øíèany";538728;99;166;"A";11094;20.93;20.93049581163685;2;0;10636;60.95;60.9512893982808;1;0;"STAROSTOVÉ A NEZÁVISLÍ"
41;10;7;"Petr";"Petrílek";"JUDr. Ing.(ekon.)";"Ph.D.";47;"právník";"Úvaly";538957;7;7;"A";1969;3.71;3.71481397630367;0;0;0;0;0;0;0;"Èeská strana sociálnì demokratická"
41;11;720;"Petr";"Chaluš";"Mgr.";"";45;"pøedseda Fóra rodièù";"Benešov";529303;99;720;"A";5172;9.75;9.75775413176364;0;0;0;0;0;0;0;"Èeská pirátská strana"
44;1;720;"Roman";"Šemík";"Ing.";"";56;"architekt IT bezp., rodopisec, obèanskı aktivista";"Praha";554782;99;720;"A";1915;3.82;3.82128746458075;0;0;0;0;0;0;0;"Èeská pirátská strana"
44;2;80;"Miroslav";"Krèil";"";"";43;"starosta";"Hlinsko";571393;99;80;"A";5789;11.55;11.55166221016083;0;0;0;0;0;0;0;"Nezávislı kandidát"
44;3;785;"Pavel";"Svoboda";"MUDr.";"";48;"lékaø Zdravotní záchranné sluby PK";"Ostøešany";575437;99;785;"A";2104;4.19;4.19842758510595;0;0;0;0;0;0;0;"PRO Zdraví a Sport"
44;4;80;"Tomáš";"Dubskı";"";"";45;"starosta obce Vysoèina";"Vysoèina";572551;99;80;"A";4906;9.78;9.78967953067007;0;0;0;0;0;0;0;"Nezávislı kandidát"
44;5;768;"Petr";"Novák";"";"";70;"trenér reprezentace";"Svratka";596868;99;768;"A";3711;7.4;7.40511633475675;0;0;0;0;0;0;0;"ANO 2011"
44;6;1;"Daniel";"Herman";"Mgr.";"";55;"politik";"Praha";554782;1;1;"A";7586;15.13;15.13748653070998;2;0;7591;36.1;36.10292019404546;0;0;"Køesan.a demokrat.unie-Èeskosl.strana lidová"
44;7;1193;"Emanuel";"ïárskı";"Mgr. et RNDr.";"CSc.";61;"VŠ pedagog, klinickı DNA genetik, øeditel DNA proj";"Hošalovice";571482;99;1193;"A";2010;4.01;4.01085525002993;0;0;0;0;0;0;0;"OBYÈEJNÍ LIDÉ"
44;8;1176;"Jiøí";"Hynek";"RNDr.";"";57;"prezident Asociace obranného a bezpeè. prùmyslu ÈR";"Jesenice";539325;1176;1176;"A";907;1.8;1.80987348844634;0;0;0;0;0;0;0;"REALISTÉ"
