KRZAST;KSTRANA;VSTRANA;NAZEVCELK;NAZEV_STRK;ZKRATKAK30;ZKRATKAK8;POCSTRVKO;SLOZENI;STAVREG;PLATNOST;SLOZNEPLAT;CPU
1;27;152;Národní strana;Národní strana;Národní strana;NS;1;152;0;0;
1;28;653;Nejen hasiči a živnostníci pro kraj;Nejen hasiči a živnostníci pro kraj;Nejen hasiči a živn.pro kraj;HAS+ŽIVN;2;165,167;0;0;
1;32;137;Strana zdravého rozumu;Strana zdravého rozumu;Strana zdravého rozumu;SZR;1;137;0;0;
1;33;11;Sdružení pro republiku-Republikánská strana Československa;Sdružení pro republiku-Republikán.strana Českosl.;Sdruž.pro rep.-Republ.str.Čsl.;SPR-RSČ;1;011;1;0;
1;35;625;Koalice pro Středočeský kraj;Koalice pro Středočeský kraj;Koalice pro Středočeský kraj;KOALSTČ1;2;001,129;0;0;
1;37;155;SDŽ - Strana důstojného života;SDŽ - Strana důstojného života;SDŽ-Strana důstojného života;SDŽ;1;155;0;0;
1;42;98;Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ daně,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PŘÍMOU demokr. WWW.CIBULKA.NET;Volte Pravý Blok - www.cibulka.net;Volte Pr.Blok-www.cibulka.net;PB;1;098;0;0;
1;47;53;Občanská demokratická strana;Občanská demokratická strana;Občanská demokratická strana;ODS;1;053;0;0;
1;48;7;Česká strana sociálně demokratická;Česká strana sociálně demokratická;Česká str.sociálně demokrat.;ČSSD;1;007;0;0;
2;53;632;Dělnická strana - za zrušení poplatků ve zdravotnictví;Dělnická strana-za zrušení poplatků ve zdravotn.;Děln.str.-zrušení popl.ve zdr.;DS_POPL;2;153,156;0;0;
2;1;47;Komunistická strana Čech a Moravy;Komunistická strana Čech a Moravy;Komunistická str.Čech a Moravy;KSČM;1;047;0;0;
2;3;129;SNK Evropští demokraté;SNK Evropští demokraté;SNK Evropští demokraté;SNK ED;1;129;0;0;
2;12;1;Křesťanská a demokratická unie - Československá strana lidová;Křesťan.a demokrat.unie-Českosl.strana lidová;Křesť.demokr.unie-Čs.str.lid.;KDU-ČSL;1;001;0;0;
2;18;5;Strana zelených;Strana zelených;Strana zelených;SZ;1;005;0;0;
2;19;83;Moravané;Moravané;Moravané;M;1;083;0;0;
2;21;633;Dohoda pro změnu;Dohoda pro změnu;Dohoda pro změnu;PROZMENU;4;002,055,137,178;0;0;
2;25;701;Doktoři (za uzdravení společnosti);Doktoři (za uzdravení společnosti);Doktoři (za uzdravení společ.);Doktoři;1;701;0;0;
2;33;11;Sdružení pro republiku-Republikánská strana Československa;Sdružení pro republiku-Republikán.strana Českosl.;Sdruž.pro rep.-Republ.str.Čsl.;SPR-RSČ;1;011;0;0;
2;37;155;SDŽ - Strana důstojného života;SDŽ - Strana důstojného života;SDŽ-Strana důstojného života;SDŽ;1;155;0;0;
2;42;98;Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ daně,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PŘÍMOU demokr. WWW.CIBULKA.NET;Volte Pravý Blok - www.cibulka.net;Volte Pr.Blok-www.cibulka.net;PB;1;098;0;0;
2;47;53;Občanská demokratická strana;Občanská demokratická strana;Občanská demokratická strana;ODS;1;053;0;0;
2;48;7;Česká strana sociálně demokratická;Česká strana sociálně demokratická;Česká str.sociálně demokrat.;ČSSD;1;007;0;0;
3;58;55;Koruna Česká (monarchistická strana Čech, Moravy a Slezska);Koruna Česká (monarch.str.Čech, Moravy a Slezska);Koruna Česká (monarch.strana);"KČ";1;055;0;0;
3;1;47;Komunistická strana Čech a Moravy;Komunistická strana Čech a Moravy;Komunistická str.Čech a Moravy;KSČM;1;047;0;0;
3;6;177;Zelení;Zelení;Zelení;"Z";1;177;0;0;
3;18;5;Strana zelených;Strana zelených;Strana zelených;SZ;1;005;0;0;
3;20;645;Dělnická strana - NE americkému radaru!;Dělnická strana - NE americkému radaru!;Děln.str.-NE americkému radaru;DS_RADAR;2;153,156;0;0;
3;23;172;NEZÁVISLÍ DEMOKRATÉ;NEZÁVISLÍ DEMOKRATÉ;NEZÁVISLÍ DEMOKRATÉ;NEZ/DEM;1;172;0;0;
3;26;175;Česká strana národně socialistická;Česká strana národně socialistická;Česká str.národ.socialistická;ČSNS2005;1;175;0;0;
3;30;103;Strana pro otevřenou společnost;Strana pro otevřenou společnost;Str.pro otevřenou společnost;SOS;1;103;0;0;
3;32;137;Strana zdravého rozumu;Strana zdravého rozumu;Strana zdravého rozumu;SZR;1;137;0;0;
3;33;11;Sdružení pro republiku-Republikánská strana Československa;Sdružení pro republiku-Republikán.strana Českosl.;Sdruž.pro rep.-Republ.str.Čsl.;SPR-RSČ;1;011;0;0;
3;36;646;Koalice pro Plzeňský kraj;Koalice pro Plzeňský kraj;Koalice pro Plzeňský kraj;KOALPLZ1;2;001,129;0;0;
3;37;155;SDŽ - Strana důstojného života;SDŽ - Strana důstojného života;SDŽ-Strana důstojného života;SDŽ;1;155;0;0;
3;39;140;Balbínova poetická strana;Balbínova poetická strana;Balbínova poetická strana;BPS;1;140;0;0;
3;41;143;Spojení demokraté - Sdružení nezávislých;Spojení demokraté - Sdružení nezávislých;Spojení demokraté-Sdruž.nezáv.;SD-SN;1;143;0;0;
3;42;98;Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ daně,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PŘÍMOU demokr. WWW.CIBULKA.NET;Volte Pravý Blok - www.cibulka.net;Volte Pr.Blok-www.cibulka.net;PB;1;098;0;0;
